epoch,composite training loss,activity training loss (cross entropy),TTNE training loss (MAE),composite validation loss,TTNE - MAE standardized,TTNE - MAE minutes,Cross Entropy validation set next activity,Next Activity Accuracy (validation)
0,0.16059773430228233,0.08305275884456932,0.07319285944104195,0.5252167582511902,0.23675088584423065,1931.5544912433631,0.2884658873081207,0.9150282740592957
1,0.106954824347049,0.061368209663778546,0.04551962430588901,0.5050367712974548,0.2252020537853241,1837.3322527395833,0.27983465790748596,0.9152542352676392
2,0.1044379449635744,0.059656981024891136,0.04462918256409466,0.5202851295471191,0.22371740639209747,1825.2196165816497,0.29656773805618286,0.915141224861145
3,0.10306256288662553,0.058741224342957137,0.04429417349398136,0.5096846222877502,0.218791663646698,1785.0324785751388,0.29089298844337463,0.915141224861145
4,0.10237500831484794,0.058119721272960306,0.04416730537079275,0.5009205937385559,0.21924997866153717,1788.7716849656877,0.28167062997817993,0.915141224861145
5,0.1022375368885696,0.05806525432504714,0.0440553128067404,0.5139338970184326,0.2232738584280014,1821.6008885710803,0.2906601130962372,0.9155932068824768
6,0.10145046081393957,0.05750017839483917,0.04382907235063613,0.4987422823905945,0.2180788815021515,1779.2171780423976,0.280663400888443,0.9152542352676392
7,0.10145746061578392,0.05756006820127368,0.04382205275353044,0.5322699546813965,0.22945262491703033,1872.0109392860759,0.30281734466552734,0.915141224861145
8,0.10126753769814968,0.05753807071596384,0.04371878628619015,0.5206043720245361,0.22322861850261688,1821.2317943615767,0.29737573862075806,0.9154801964759827
9,0.10070734651759267,0.05704782628454268,0.04364962534978986,0.4976535439491272,0.21852660179138184,1782.869946362144,0.27912694215774536,0.9154801964759827
10,0.10064262287691235,0.0570003797672689,0.0436324012093246,0.5106467008590698,0.2212342470884323,1804.9605265750215,0.28941240906715393,0.915141224861145
11,0.10091322867199778,0.05732698901556432,0.04357537664473057,0.49233365058898926,0.21673369407653809,1768.2423392187018,0.2755998969078064,0.9154801964759827
12,0.10062694313004612,0.05695761634968221,0.04359039748087525,0.5112260580062866,0.21821434795856476,1780.3223939378518,0.2930116653442383,0.915141224861145
13,0.100429957639426,0.056855616234242914,0.043504532417282464,0.5148561000823975,0.22137948870658875,1806.145494051976,0.2934766411781311,0.9155932068824768
14,0.10034889591857792,0.05675520760938525,0.04350486643146723,0.4981039762496948,0.21658013761043549,1766.9895342684592,0.2815238833427429,0.9155932068824768
15,0.10018543703481556,0.05684695585630834,0.04326620873063803,0.5133511424064636,0.21923938393592834,1788.685246894885,0.2941117286682129,0.9152542352676392
16,0.10042948802933097,0.0569154207687825,0.04342294034548104,0.5157986879348755,0.21694378554821014,1769.9563903582914,0.29885488748550415,0.9155932068824768
17,0.10020778741687536,0.05687460702843964,0.04333056843839586,0.5152426362037659,0.22012832760810852,1795.9377779100878,0.29511427879333496,0.9155932068824768
18,0.10009995931759477,0.056615512017160655,0.04339656032621861,0.504533052444458,0.21760036051273346,1775.3131192974065,0.28693273663520813,0.9154801964759827
19,0.09991536051034927,0.05664515469223261,0.04326134643517435,0.51918625831604,0.21997655928134918,1794.6995616637782,0.2992096245288849,0.9155932068824768
20,0.10022292949259282,0.056667123073711995,0.04345338682644069,0.5136566758155823,0.21871043741703033,1784.3697866989846,0.29494625329971313,0.9154801964759827
21,0.09998820854350925,0.05666316183283925,0.04331651527434587,0.5257821679115295,0.2177049219608307,1776.166193759886,0.30807721614837646,0.9154801964759827
22,0.09992584336549043,0.05649237451143563,0.043380438922904434,0.5094744563102722,0.21617035567760468,1763.6462896171574,0.2933041453361511,0.9154801964759827
23,0.09974450532346964,0.056419186098501085,0.04318940693512559,0.4986044466495514,0.21674445271492004,1768.3301145873652,0.2818600535392761,0.9153672456741333
24,0.09948415875434875,0.05615772695280612,0.04327085957396776,0.5124132633209229,0.21817359328269958,1779.9898930607133,0.29423969984054565,0.9153672456741333
