log,model,method,dl_similarity,ges_approx,ttne_mae_minutes,rrt_mae_minutes,nb_f1,nb_accuracy,nb_tp,nb_fp,nb_fn,nb_tn,first_step_f1,first_step_accuracy,testing_time_seconds,num_trainable_params
Sepsis,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.47323,0.428348,2923.250781,23255.079167,0.69118,0.694288,7613,2486,4317,7837,0.585446,0.604803,3.41,26012
BPI_Challenge_2012_O,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.728395,0.710848,2596.25026,6747.554688,0.790673,0.786102,7511,14,3963,7105,0.807171,0.820316,3.67,23219
BPI_Challenge_2012_A,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.736764,0.715129,2002.707552,6179.940104,0.791228,0.81236,9056,16,4763,11634,0.742548,0.765318,4.85,24144
BPIC15_4,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.16483,0.333222,3345.344792,44368.729167,0.13118,0.742279,3757,27882,21884,139577,0.024046,0.029534,201.0,83301
BPIC15_3,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.139698,0.246584,1078.255924,25488.095833,0.179843,0.608631,12725,93208,22854,167767,0.027459,0.033318,481.73,88075
BPIC15_1,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.142505,0.214753,2078.048958,50880.879167,0.199061,0.549432,15695,106037,20263,138318,0.023116,0.031389,495.04,88723
BPIC15_2,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.142486,0.310935,3122.01849,83488.691667,0.155571,0.678463,7048,50671,25841,154397,0.025251,0.027573,1788.39,87427
BPIC15_5,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.121032,0.394177,2301.614062,46960.645833,0.134804,0.775866,5286,42199,25654,229595,0.02761,0.028579,2627.33,85836
