log,model,method,dl_similarity,ges_approx,ttne_mae_minutes,rrt_mae_minutes,nb_f1,nb_accuracy,first_step_f1,first_step_accuracy,training_time_seconds,testing_time_seconds,num_trainable_params
Sepsis,suffix_time_nb_v5,gatv2_gru_nb_v5,0.470497,0.41485,3189.901823,23077.216667,0.591851,0.626387,0.614417,0.640137,6651.33,22.44,34398
BPI_Challenge_2012_A,suffix_time_nb_v5,gatv2_gru_nb_v5,0.722895,0.68939,2276.234375,5949.666667,0.746348,0.777769,0.748688,0.770101,12481.95,69.66,32530
BPI_Challenge_2012_O,suffix_time_nb_v5,gatv2_gru_nb_v5,0.727349,0.709611,2540.677344,6734.833333,0.79096,0.786586,0.806334,0.818751,14867.55,38.83,31605
BPIC15_5,suffix_time_nb_v5,gatv2_gru_nb_v5,0.194103,0.447648,2336.107292,46283.4125,0.116491,0.819971,0.199744,0.216807,30618.43,4599.26,94222
BPIC15_4,suffix_time_nb_v5,gatv2_gru_nb_v5,0.230493,0.427395,2115.53138,44887.320833,0.18259,0.736587,0.215788,0.218705,39083.34,559.45,91687
BPIC15_1,suffix_time_nb_v5,gatv2_gru_nb_v5,0.188527,0.298493,2082.365104,50708.0625,0.191696,0.590183,0.134862,0.129417,41104.28,1064.36,97109
BPIC15_2,suffix_time_nb_v5,gatv2_gru_nb_v5,0.198349,0.386218,3130.924219,83151.3,0.154284,0.702698,0.134318,0.135801,40548.23,1855.17,95813
BPIC15_3,suffix_time_nb_v5,gatv2_gru_nb_v5,0.198433,0.329419,1077.164453,25529.220833,0.182833,0.615288,0.168772,0.165518,43328.73,1593.44,96461
