log,model,method,dl_similarity,ges_approx,ttne_mae_minutes,rrt_mae_minutes,nb_f1,nb_accuracy,nb_tp,nb_fp,nb_fn,nb_tn,first_step_f1,first_step_accuracy,testing_time_seconds,num_trainable_params
Sepsis,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.470234,0.424625,2942.780729,23763.947917,0.690213,0.691772,7641,2570,4289,7753,0.594564,0.612693,7.43,26012
BPI_Challenge_2012_O,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.726783,0.70963,2576.976302,6813.810417,0.789826,0.785349,7499,16,3975,7103,0.805711,0.819462,17.31,23219
BPI_Challenge_2012_A,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.737245,0.715359,2023.483464,6201.803125,0.791212,0.812321,9057,18,4762,11632,0.7431,0.765849,30.43,24144
BPIC15_4,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.16418,0.333395,3188.036979,43172.895833,0.132005,0.748286,3696,26661,21945,140798,0.021702,0.027855,451.69,83301
BPIC15_1,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.133638,0.230897,2077.079948,50922.4125,0.186886,0.567605,13929,99177,22029,145178,0.02202,0.025766,1296.62,88723
BPIC15_3,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.13306,0.234529,1077.106836,25532.664583,0.184044,0.610105,13040,93086,22539,167889,0.024739,0.027727,1320.18,88075
BPIC15_2,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.141457,0.325661,3119.7375,83575.6,0.158562,0.688276,6989,48277,25900,156791,0.030485,0.035823,1911.3,87427
BPIC15_5,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.118811,0.398083,2304.334115,46751.066667,0.133114,0.771459,5312,43559,25628,228235,0.022009,0.025857,2394.12,85836
