log,model,method,dl_similarity,ges_approx,ttne_mae_minutes,rrt_mae_minutes,nb_f1,nb_accuracy,nb_tp,nb_fp,nb_fn,nb_tn,first_step_f1,first_step_accuracy,training_time_seconds,testing_time_seconds,num_trainable_params
Sepsis,suffix_time_nb_v1,gatv2_gru_nb_v1,0.456309,0.427147,2940.371875,22301.833333,0.675863,0.687458,7251,2276,4679,8047,0.619418,0.642196,1877.53,9.27,26012
BPI_Challenge_2012_A,suffix_time_nb_v1,gatv2_gru_nb_v1,0.736789,0.714743,1995.626432,6157.818229,0.792282,0.812753,9095,45,4724,11605,0.740915,0.76471,3626.84,22.79,24144
BPI_Challenge_2012_O,suffix_time_nb_v1,gatv2_gru_nb_v1,0.728076,0.709748,2568.542969,6779.925,0.788816,0.784704,7476,5,3998,7114,0.806126,0.821881,5739.32,11.71,23219
BPIC15_1,suffix_time_nb_v1,gatv2_gru_nb_v1,0.187902,0.271175,2082.153646,50722.0875,0.201297,0.562446,15456,102150,20502,142205,0.109722,0.110029,14573.23,606.0,88723
BPIC15_4,suffix_time_nb_v1,gatv2_gru_nb_v1,0.233138,0.386888,3132.475,42656.225,0.116712,0.779658,2811,19718,22830,147741,0.135413,0.149569,16339.39,344.3,83301
BPIC15_2,suffix_time_nb_v1,gatv2_gru_nb_v1,0.19466,0.382422,3157.965625,82223.616667,0.149511,0.717773,5903,40172,26986,164896,0.130842,0.1434,18488.21,1273.29,87427
BPIC15_3,suffix_time_nb_v1,gatv2_gru_nb_v1,0.224223,0.293862,1087.847656,25023.941667,0.171025,0.655125,10550,77245,25029,183730,0.165288,0.170726,22349.05,513.32,88075
BPIC15_5,suffix_time_nb_v1,gatv2_gru_nb_v1,0.196483,0.449553,2203.150781,47879.85,0.105349,0.837636,2894,21107,28046,250687,0.206414,0.225483,23563.89,4939.02,85836
