log,method,training_time_seconds,inference_time_seconds
Sepsis,gatv2_gru_nb_v1,0.0,1.2
BPI_Challenge_2012_O,gatv2_gru_nb_v1,0.0,1.31
BPIC15_4,gatv2_gru_nb_v1,0.0,4.08
BPIC15_2,gatv2_gru_nb_v1,0.0,4.77
BPI_Challenge_2012_A,gatv2_gru_nb_v1,0.0,2.2
BPIC15_1,gatv2_gru_nb_v1,0.0,5.35
BPIC15_3,gatv2_gru_nb_v1,0.0,5.64
BPIC15_5,gatv2_gru_nb_v1,0.0,5.48
