log,model,method,dl_similarity,ges_approx,ttne_mae_minutes,rrt_mae_minutes,nb_f1,nb_accuracy,nb_tp,nb_fp,nb_fn,nb_tn,first_step_f1,first_step_accuracy,training_time_seconds,testing_time_seconds,num_trainable_params
Sepsis,suffix_time_nb_v1,gatv2_gru_nb_v1,0.418943,0.397185,2986.660156,25030.86875,0.689237,0.677437,7960,3208,3970,7115,0.618339,0.642196,2586.11,11.99,26012
BPI_Challenge_2012_O,suffix_time_nb_v1,gatv2_gru_nb_v1,0.727066,0.709197,2585.127604,6791.872396,0.788246,0.784112,7471,11,4003,7108,0.804628,0.821169,5974.77,17.64,23219
BPI_Challenge_2012_A,suffix_time_nb_v1,gatv2_gru_nb_v1,0.736827,0.714718,1987.727344,6146.133333,0.79239,0.812753,9101,51,4718,11599,0.741032,0.764786,6592.08,27.97,24144
BPIC15_4,suffix_time_nb_v1,gatv2_gru_nb_v1,0.234098,0.387468,3369.364583,43689.5875,0.110934,0.783102,2613,18855,23028,148604,0.138303,0.152254,19945.24,233.19,83301
BPIC15_1,suffix_time_nb_v1,gatv2_gru_nb_v1,0.171128,0.291676,2076.852865,50930.9,0.199053,0.590262,14272,93169,21686,151186,0.093272,0.109358,20917.85,485.18,88723
BPIC15_2,suffix_time_nb_v1,gatv2_gru_nb_v1,0.195392,0.403479,3120.156771,83549.933333,0.164112,0.708897,6800,43181,26089,161887,0.146838,0.154472,20609.44,812.0,87427
BPIC15_3,suffix_time_nb_v1,gatv2_gru_nb_v1,0.199966,0.32493,1076.983984,25536.99375,0.1845,0.617038,12847,90837,22732,170138,0.175205,0.180453,23345.23,728.76,88075
BPIC15_5,suffix_time_nb_v1,gatv2_gru_nb_v1,0.185423,0.441789,2214.801302,47166.841667,0.111037,0.845875,2914,18633,28026,253161,0.204525,0.217402,24011.82,3477.91,85836
