log,model,method,dl_similarity,ges_approx,ttne_mae_minutes,rrt_mae_minutes,nb_f1,nb_accuracy,nb_tp,nb_fp,nb_fn,nb_tn,first_step_f1,first_step_accuracy,training_time_seconds,testing_time_seconds,num_trainable_params
Sepsis,suffix_time_nb_v1,gatv2_gru_nb_v1,0.430824,0.406623,3590.822917,27087.94375,0.578933,0.572103,6546,4138,5384,6185,0.521501,0.555403,1312.79,10.19,26012
BPI_Challenge_2012_A,suffix_time_nb_v1,gatv2_gru_nb_v1,0.736739,0.714754,2022.34349,6194.969271,0.791912,0.812517,9086,42,4733,11608,0.740754,0.764558,6632.63,29.44,24144
BPI_Challenge_2012_O,suffix_time_nb_v1,gatv2_gru_nb_v1,0.727993,0.710148,2556.529167,6764.029167,0.790749,0.786371,7505,3,3969,7116,0.80485,0.81747,7569.56,17.05,23219
BPIC15_4,suffix_time_nb_v1,gatv2_gru_nb_v1,0.234189,0.388169,2977.055469,41716.420833,0.109271,0.784454,2553,18534,23088,148925,0.136289,0.150129,20598.74,240.01,83301
BPIC15_1,suffix_time_nb_v1,gatv2_gru_nb_v1,0.168774,0.266524,2076.914714,50927.804167,0.201378,0.558222,15613,103491,20345,140864,0.105018,0.105833,20509.55,472.51,88723
BPIC15_2,suffix_time_nb_v1,gatv2_gru_nb_v1,0.200476,0.415589,3131.826562,83177.8,0.161128,0.711154,6601,42445,26288,162623,0.143781,0.156535,21029.37,1019.43,87427
BPIC15_3,suffix_time_nb_v1,gatv2_gru_nb_v1,0.201066,0.320568,1077.028971,25535.427083,0.181181,0.605114,12956,94482,22623,166493,0.165689,0.174173,23509.02,514.72,88075
BPIC15_5,suffix_time_nb_v1,gatv2_gru_nb_v1,0.195869,0.449162,2102.080859,49294.525,0.104259,0.852369,2601,16354,28339,255440,0.205793,0.216637,24370.02,4009.93,85836
