log,model,method,dl_similarity,ges_approx,ttne_mae_minutes,rrt_mae_minutes,nb_f1,nb_accuracy,nb_tp,nb_fp,nb_fn,nb_tn,first_step_f1,first_step_accuracy,training_time_seconds,testing_time_seconds,num_trainable_params
Sepsis,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.454376,0.41088,3149.096354,23986.43125,0.638681,0.639509,7090,3182,4840,7141,0.60991,0.626758,738.77,6.83,26012
BPI_Challenge_2012_O,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.726272,0.707786,2561.845052,6807.010417,0.789684,0.78508,7502,24,3972,7095,0.804597,0.819178,1778.79,8.11,23219
BPI_Challenge_2012_A,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.73727,0.715179,2045.494792,6201.240104,0.79145,0.812282,9072,34,4747,11616,0.743229,0.766077,2478.01,11.92,24144
BPIC15_4,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.241284,0.377375,3084.565625,41790.941667,0.110132,0.776805,2667,20125,22974,147334,0.119352,0.130887,23577.15,245.77,83301
BPIC15_2,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.193308,0.378338,3134.129427,83037.6,0.168834,0.705022,7129,44432,25760,160636,0.150571,0.158489,26144.05,629.22,87427
BPIC15_1,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.197435,0.29851,2079.586589,50822.320833,0.200148,0.571732,15020,99111,20938,145244,0.104737,0.109945,26825.78,496.2,88723
BPIC15_3,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.212986,0.299211,1077.715169,25513.058333,0.183364,0.592233,13576,98922,22003,162053,0.201024,0.201287,28673.33,473.5,88075
BPIC15_5,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.176181,0.455404,2286.74349,46507.804167,0.125957,0.821715,3889,26922,27051,244872,0.178228,0.192141,28735.83,2498.49,85836
