log,model,method,dl_similarity,ges_approx,ttne_mae_minutes,rrt_mae_minutes,nb_f1,nb_accuracy,nb_tp,nb_fp,nb_fn,nb_tn,first_step_f1,first_step_accuracy,testing_time_seconds,num_trainable_params
Sepsis,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.454304,0.411887,3150.873698,24022.54375,0.640279,0.638566,7158,3271,4772,7052,0.583273,0.599657,3.54,26012
BPI_Challenge_2012_O,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.72691,0.709183,2564.413802,6831.526563,0.790641,0.785833,7519,27,3955,7092,0.806529,0.819889,4.19,23219
BPI_Challenge_2012_A,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.737055,0.715078,2045.869141,6202.234375,0.791865,0.812753,9072,22,4747,11628,0.743184,0.765621,16.09,24144
BPIC15_4,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.164517,0.330859,3205.204427,43344.741667,0.129376,0.74755,3622,26729,22019,140730,0.02353,0.029198,530.14,83301
BPIC15_3,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.130551,0.237551,1077.678971,25513.633333,0.182039,0.603114,13097,95216,22482,165759,0.031815,0.033931,1665.04,88075
BPIC15_1,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.142342,0.243176,2079.631901,50822.891667,0.197413,0.560862,15139,102277,20819,142078,0.029962,0.035921,1831.49,88723
BPIC15_2,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.142297,0.307163,3133.802083,83053.158333,0.16293,0.673941,7551,52250,25338,152818,0.027146,0.036149,1894.0,87427
BPIC15_5,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.11708,0.398652,2326.616406,46372.35,0.137054,0.77392,5435,42937,25505,228857,0.019416,0.021944,3338.4,85836
