epoch,composite training loss,activity training loss (cross entropy),TTNE training loss (MAE),composite validation loss,TTNE - MAE standardized,TTNE - MAE minutes,Cross Entropy validation set next activity,Next Activity Accuracy (validation)
0,0.10326193373650312,0.04731214396655559,0.048981123603880405,0.679761528968811,0.29660046100616455,2849.8244408354644,0.38316109776496887,0.8184546232223511
1,0.059857844710350036,0.03191074507310986,0.027012066459283234,0.5874319076538086,0.22184287011623383,2131.5315260726807,0.3655890226364136,0.8477119207382202
2,0.05531325409188867,0.03049598913639784,0.02412611709907651,0.5858883857727051,0.2194322943687439,2108.3700054925116,0.36645612120628357,0.847961962223053
3,0.05412326566874981,0.03000950988382101,0.023387729907408356,0.5754071474075317,0.21086692810058594,2026.0714478540697,0.3645402193069458,0.847961962223053
4,0.053439305759966374,0.0296067101880908,0.023191650826483966,0.5725922584533691,0.20374323427677155,1957.624902965817,0.3688490092754364,0.8432108163833618
5,0.05307353261858225,0.029283488616347313,0.023085738345980645,0.5700573325157166,0.206697016954422,1986.0057154538654,0.3633602559566498,0.8474618792533875
6,0.052966301944106814,0.029392799381166696,0.022964681768789887,0.5661062598228455,0.19789116084575653,1901.396460714934,0.36821508407592773,0.8467116951942444
7,0.0526191333308816,0.029113411027938126,0.023042079964652656,0.5624493360519409,0.20187591016292572,1939.6831038177413,0.36057335138320923,0.8462115526199341
8,0.052095513865351675,0.028798007350414993,0.022718248749151827,0.577430784702301,0.2153715342283249,2069.353028049931,0.36205920577049255,0.8499624729156494
9,0.052097082044929265,0.028874064087867735,0.02272157576866448,0.580927848815918,0.22021976113319397,2115.936217709656,0.3607080578804016,0.8439610004425049
10,0.05217175431549549,0.02887900171801448,0.022863864563405514,0.5632448196411133,0.20429623126983643,1962.938260676721,0.35894855856895447,0.8464615941047668
11,0.05192040326073766,0.028589128404855727,0.022889365823939443,0.5540660619735718,0.1977701485157013,1900.2337386656693,0.3562958538532257,0.8512127995491028
12,0.051676444802433254,0.02874886054545641,0.022581338938325642,0.562219500541687,0.20362433791160583,1956.482511729383,0.3585951030254364,0.8504626154899597
13,0.05171391824260354,0.028495655860751867,0.02277216046117246,0.5646247863769531,0.20493575930595398,1969.0830340925972,0.35968905687332153,0.8504626154899597
14,0.051531327813863756,0.028643408808857202,0.02262793273665011,0.5682860016822815,0.20978093147277832,2015.6368729309825,0.3585050404071808,0.8437108993530273
15,0.051558617893606426,0.028369331238791345,0.022800939371809364,0.5547736287117004,0.19737963378429413,1896.4815583005577,0.3573940396308899,0.8457114100456238
16,0.05133867025375366,0.02830220599658787,0.022683399403467773,0.5652719140052795,0.20455439388751984,1965.4187630167662,0.3607174754142761,0.8482120633125305
17,0.05165020007640123,0.0285102360881865,0.02275766628794372,0.5612558722496033,0.19849814474582672,1907.2285405024893,0.36275774240493774,0.8424606323242188
18,0.05118752881884575,0.028394675301387905,0.0224688820540905,0.5542885065078735,0.19686736166477203,1891.5594971492692,0.3574211299419403,0.8449612259864807
19,0.051252854075282815,0.028214258216321467,0.022688835067674516,0.5607006549835205,0.1987629234790802,1909.7726124263138,0.3619377017021179,0.8437108993530273
20,0.05122718045488,0.028193249069154262,0.022571923322975637,0.5635702610015869,0.20618054270744324,1981.0432790263926,0.35738974809646606,0.847961962223053
21,0.051402208171784876,0.028410396557301282,0.022646402958780527,0.562635064125061,0.2030787169933319,1951.2400255139087,0.35955631732940674,0.847961962223053
22,0.05099893661215901,0.028143474608659746,0.022586950557306407,0.5536041855812073,0.19521108269691467,1875.645481818917,0.3583931028842926,0.8464615941047668
23,0.05128442455083132,0.028358708545565606,0.02253063683398068,0.5647463798522949,0.2021445482969284,1942.2642579987705,0.36260175704956055,0.8417104482650757
24,0.05126835759729147,0.028375225346535443,0.0225480598770082,0.5621340870857239,0.20314186811447144,1951.846800054579,0.35899224877357483,0.8469617366790771
25,0.051079752277582886,0.02831199813634157,0.022418820057064293,0.5538539290428162,0.19715018570423126,1894.2769536811052,0.3567036986351013,0.8457114100456238
26,0.050993669927120205,0.028231524480506778,0.02247034781612456,0.5573403239250183,0.19854070246219635,1907.6374475549087,0.3587995767593384,0.8507126569747925
27,0.05088958593085408,0.028149993531405924,0.02235130629502237,0.5626494288444519,0.20115552842617035,1932.7614642721633,0.361493855714798,0.8427106738090515
28,0.051071218699216846,0.02824692119844258,0.022478211410343646,0.5577799677848816,0.20239895582199097,1944.7086803047787,0.35538095235824585,0.8462115526199341
29,0.050641719177365305,0.028023502370342613,0.022375243864953518,0.5629557967185974,0.19701650738716125,1892.9925331043348,0.36593928933143616,0.8179544806480408
30,0.05089149443432689,0.028116511721163986,0.02252160013653338,0.5570591688156128,0.200376957654953,1925.2807273737496,0.3566822409629822,0.8452113270759583
31,0.05065033221617341,0.02801160791888833,0.02235424824990332,0.5643589496612549,0.2008460909128189,1929.788297657827,0.36351278424263,0.847961962223053
32,0.050986174512654546,0.028142067547887565,0.022458080537617206,0.5536946654319763,0.19517461955547333,1875.2951332344385,0.3585200309753418,0.8477119207382202
33,0.05097322823479772,0.02810399537906051,0.02255828509107232,0.5521897077560425,0.1946159303188324,1869.927082773526,0.3575737476348877,0.8452113270759583
34,0.050545396264642474,0.02807055371813476,0.022224076902493835,0.569243848323822,0.209445059299469,2012.4097143310048,0.3597988486289978,0.8427106738090515
35,0.05066797163337469,0.02783280243165791,0.0224786239489913,0.5554642081260681,0.19480672478675842,1871.7602921219782,0.3606574535369873,0.8422105312347412
36,0.050638016778975725,0.02801271069794893,0.0223934359010309,0.5570523738861084,0.19716933369636536,1894.4609332197463,0.35988301038742065,0.8507126569747925
37,0.050553176552057266,0.027994070695713164,0.022285852953791617,0.5597367286682129,0.20044763386249542,1925.959805157232,0.3592892289161682,0.8487122058868408
38,0.05053486742079258,0.027877857889980078,0.022350854305550456,0.5569077730178833,0.19865679740905762,1908.7529219405535,0.35825103521347046,0.8434608578681946
39,0.05053387295454741,0.027913738759234547,0.022331890370696782,0.5670178532600403,0.20419378578662872,1961.9539343513063,0.362824022769928,0.8427106738090515
40,0.0505672843195498,0.027971454560756684,0.022193664824590086,0.5538255572319031,0.19412186741828918,1865.1799811523695,0.3597036302089691,0.847961962223053
41,0.050926253776997325,0.02814004957675934,0.022449072003364563,0.5533052086830139,0.1930755078792572,1855.1262510330064,0.3602296710014343,0.8432108163833618
42,0.05065040113404393,0.027967751622200013,0.022425950253382326,0.5607812404632568,0.1984492391347885,1906.7586410115787,0.36233195662498474,0.8452113270759583
43,0.0505099699832499,0.027789835361763836,0.02244603433646262,0.5569201111793518,0.19645072519779205,1887.556331468019,0.36046943068504333,0.8417104482650757
44,0.050610568039119244,0.027943031638860704,0.02233994980342686,0.557429313659668,0.19951578974723816,1917.0063729012597,0.357913613319397,0.8452113270759583
45,0.05042951487004757,0.027963601956143974,0.022274571675807237,0.5588570237159729,0.19957424700260162,1917.5680473993839,0.3592826724052429,0.8452113270759583
46,0.050389981623739005,0.02782804874703288,0.02234278851188719,0.555579662322998,0.19614891707897186,1884.6564703196627,0.35943081974983215,0.8424606323242188
47,0.04995821587741375,0.0276117829605937,0.022151112016290428,0.5599817633628845,0.20267337560653687,1947.3453862842462,0.35730844736099243,0.8469617366790771
48,0.049913449529558424,0.02755941919051111,0.02208058996126056,0.5587019324302673,0.20111745595932007,1932.3956528159545,0.3575844466686249,0.8472117781639099
49,0.049874365720897915,0.02757195563055575,0.0220925759896636,0.5519947409629822,0.19419115781784058,1865.8457436851957,0.357803612947464,0.8487122058868408
50,0.04989045729860663,0.02755351663567126,0.022099204566329717,0.5586738586425781,0.19778388738632202,1900.3657457743286,0.3608900010585785,0.8449612259864807
51,0.05019690562039614,0.027652128441259263,0.022302272776141763,0.5608715415000916,0.20126092433929443,1933.77413919575,0.3596106171607971,0.8412103056907654
52,0.05024019910022617,0.02767001448199153,0.022378530986607074,0.5550616383552551,0.19480757415294647,1871.7684530820582,0.3602539896965027,0.8462115526199341
53,0.04999152880162001,0.027646308420225977,0.022122677676379682,0.5583785176277161,0.1974184364080429,1896.85438531894,0.36096006631851196,0.844711184501648
54,0.049977355282753703,0.027636197451502083,0.02217423601076007,0.553996741771698,0.1961151510477066,1884.3320363628059,0.3578815162181854,0.8459615111351013
55,0.04993307603523135,0.027567661022767424,0.022181232357397676,0.5559583902359009,0.1953643560409546,1877.1181771764757,0.3605940043926239,0.8464615941047668
56,0.04979404693469405,0.027509033819660543,0.02212722553871572,0.5557788014411926,0.1963733732700348,1886.813111401804,0.35940539836883545,0.844711184501648
57,0.050183793045580384,0.027780254101380707,0.02223186763934791,0.5528742074966431,0.1933557391166687,1857.818795160388,0.35951846837997437,0.8434608578681946
58,0.05001806104555726,0.02764269760809839,0.022099176198244096,0.553715705871582,0.19627831876277924,1885.8997997465574,0.3574374318122864,0.8449612259864807
59,0.04994462680071592,0.027567031020298602,0.02216727452352643,0.5594279766082764,0.1997520476579666,1919.276408376089,0.35967597365379333,0.8474618792533875
60,0.050191640499979255,0.02764284254051745,0.022315849121659993,0.5539641976356506,0.19531288743019104,1876.6236516305873,0.3586513102054596,0.845461368560791
61,0.04957767032086849,0.027368548223748804,0.021980399461463095,0.555236279964447,0.19504009187221527,1874.0025516975884,0.36019617319107056,0.8457114100456238
62,0.04984204813838005,0.027420766977593304,0.022135745575651525,0.5632289052009583,0.20274367928504944,1948.0208846992723,0.3604851961135864,0.8459615111351013
63,0.04974851123988629,0.027442215103656055,0.022062511062249542,0.5550767183303833,0.19500041007995605,1873.6212773696498,0.36007627844810486,0.845461368560791
64,0.04958049254491925,0.027465453976765274,0.021942574782297015,0.5595153570175171,0.19724413752555847,1895.179670405722,0.362271249294281,0.8462115526199341
65,0.04969681793823838,0.02736055529676378,0.022107430016621948,0.5620436668395996,0.20133687555789948,1934.5039008365702,0.36070671677589417,0.8462115526199341
66,0.04980836514383555,0.027436788510531187,0.02213370039127767,0.5558859705924988,0.1964035928249359,1887.103469770959,0.3594823479652405,0.8462115526199341
67,0.049782064892351624,0.027363588754087686,0.02219100095331669,0.5534667372703552,0.1938396841287613,1862.4686811342779,0.3596270680427551,0.8459615111351013
68,0.04983220966532827,0.02740438903681934,0.022203238541260363,0.5551540851593018,0.19527427852153778,1876.252685883802,0.35987982153892517,0.8464615941047668
69,0.04965478399768472,0.02730223665945232,0.02212124926969409,0.5558871030807495,0.19490668177604675,1872.7207082661066,0.3609803318977356,0.8449612259864807
70,0.049605805054306985,0.02732104959897697,0.022041459996253253,0.5565181374549866,0.19701755046844482,1893.0025553360117,0.35950058698654175,0.8462115526199341
71,0.049628377463668584,0.027436812091618776,0.021957730948925017,0.5602670311927795,0.19880059361457825,1910.13455816459,0.3614664077758789,0.8457114100456238
72,0.04966657038778067,0.027280161147937177,0.02213817729614675,0.5567265152931213,0.19747218489646912,1897.3708165997793,0.3592543601989746,0.8459615111351013
73,0.04946459591388702,0.027278590640053155,0.021973366579040886,0.5512166023254395,0.1923380047082901,1848.040103713188,0.35887858271598816,0.8457114100456238
74,0.04933932390064001,0.027165661593899132,0.02195474151521921,0.5556188821792603,0.19582796096801758,1881.5726296326652,0.3597908616065979,0.8472117781639099
75,0.04972495483234525,0.02737864976748824,0.02215637009590864,0.557145893573761,0.19766560196876526,1899.2292247021626,0.3594803214073181,0.8467116951942444
76,0.04959769837558269,0.027273756600916386,0.022085624458268286,0.5604761838912964,0.19929802417755127,1914.914017276589,0.3611781895160675,0.8467116951942444
77,0.04952766738831997,0.02724109875038266,0.02207716749049723,0.5539043545722961,0.19400478899478912,1864.055057234001,0.35989949107170105,0.8467116951942444
78,0.049451659601181745,0.027288123872131108,0.021975029837340117,0.5622074604034424,0.20144440233707428,1935.5370497477254,0.3607630431652069,0.8457114100456238
79,0.049438100904226304,0.027282133055850862,0.02188710115849972,0.5532828569412231,0.19424383342266083,1866.3518663848813,0.35903894901275635,0.8449612259864807
80,0.04950279561802745,0.0272506018076092,0.022063070395961403,0.5536051988601685,0.19336098432540894,1857.8691926682493,0.36024415493011475,0.8444611430168152
81,0.049436168875545264,0.027281134910881518,0.022003211826086045,0.5537016987800598,0.19342614710330963,1858.495295798582,0.36027559638023376,0.8472117781639099
82,0.04943890525028109,0.027357960939407348,0.021892525283619763,0.5530214905738831,0.19354669749736786,1859.6535794309611,0.3594748079776764,0.8444611430168152
83,0.049504588637501,0.02741179401986301,0.021929613025859,0.5585024356842041,0.1985989809036255,1908.197403956174,0.35990339517593384,0.8429607152938843
84,0.0493023987300694,0.027211302537471057,0.021842078706249594,0.555518388748169,0.1953161209821701,1876.6547205487857,0.36020225286483765,0.8462115526199341
85,0.04923992915078998,0.02715892205014825,0.021921304678544404,0.5606259107589722,0.20041805505752563,1925.6756033018214,0.36020785570144653,0.8459615111351013
