log,model,method,dl_similarity,ges_approx,ttne_mae_minutes,rrt_mae_minutes,nb_f1,nb_accuracy,nb_tp,nb_fp,nb_fn,nb_tn,first_step_f1,first_step_accuracy,training_time_seconds,testing_time_seconds,num_trainable_params
Sepsis,suffix_time_nb_v3,gatv2_gru_nb_v3,0.459235,0.283694,3410.232292,28804.429167,0.0,0.463893,0,0,11930,10323,0.635587,0.643568,271.91,11.5,26012
BPI_Challenge_2012_A,suffix_time_nb_v3,gatv2_gru_nb_v3,0.665364,0.583857,2060.478906,6024.581771,0.0,0.457419,0,0,13819,11650,0.748759,0.770101,470.39,7.13,24144
BPI_Challenge_2012_O,suffix_time_nb_v3,gatv2_gru_nb_v3,0.51505,0.358204,3379.714323,25145.7875,0.0,0.382886,0,0,11474,7119,0.749733,0.78731,661.86,7.49,23219
BPIC15_4,suffix_time_nb_v3,gatv2_gru_nb_v3,0.184794,0.418012,5186.482813,72496.333333,0.0,0.867214,0,0,25641,167459,0.205406,0.232353,1012.33,575.1,83301
BPIC15_1,suffix_time_nb_v3,gatv2_gru_nb_v3,0.159884,0.419945,3795.772917,48348.395833,0.01314,0.867113,248,1540,35710,242815,0.156567,0.154763,1759.01,6251.29,88723
BPIC15_5,suffix_time_nb_v3,gatv2_gru_nb_v3,0.17925,0.330859,2064.066016,50509.2875,0.042745,0.877202,830,7065,30110,264729,0.267816,0.270307,1686.03,6536.16,85836
BPIC15_2,suffix_time_nb_v3,gatv2_gru_nb_v3,0.174954,0.377602,4990.607292,59329.608333,0.020699,0.855255,364,1918,32525,203150,0.152055,0.166305,2086.55,6781.47,87427
BPIC15_3,suffix_time_nb_v3,gatv2_gru_nb_v3,0.119692,0.268652,1140.484635,23673.125,0.134575,0.791043,4818,31206,30761,229769,0.23103,0.235141,916.33,21470.42,88075
