log,method,training_time_seconds,inference_time_seconds
Sepsis,gatv2_gru_nb_v1,0.0,1.18
BPI_Challenge_2012_O,gatv2_gru_nb_v1,0.0,1.33
BPIC15_4,gatv2_gru_nb_v1,0.0,4.29
BPIC15_2,gatv2_gru_nb_v1,0.0,4.84
BPI_Challenge_2012_A,gatv2_gru_nb_v1,0.0,2.27
BPIC15_1,gatv2_gru_nb_v1,0.0,5.6
BPIC15_5,gatv2_gru_nb_v1,0.0,5.75
BPIC15_3,gatv2_gru_nb_v1,0.0,5.84
