log,model,method,dl_similarity,ges_approx,ttne_mae_minutes,rrt_mae_minutes,nb_f1,nb_accuracy,nb_tp,nb_fp,nb_fn,nb_tn,first_step_f1,first_step_accuracy,training_time_seconds,testing_time_seconds,num_trainable_params
Sepsis,suffix_time_nb_v3,gatv2_gru_nb_v3,0.456147,0.278722,3427.424219,29284.260417,0.0,0.463893,0,0,11930,10323,0.63334,0.64048,617.9,12.36,26012
BPI_Challenge_2012_O,suffix_time_nb_v3,gatv2_gru_nb_v3,0.515527,0.359642,3395.755208,25566.895833,0.0,0.382886,0,0,11474,7119,0.747894,0.78731,1375.55,9.24,23219
BPI_Challenge_2012_A,suffix_time_nb_v3,gatv2_gru_nb_v3,0.666763,0.586097,2085.309505,6213.218229,0.0,0.457419,0,0,13819,11650,0.74151,0.765014,1886.85,7.76,24144
BPIC15_4,suffix_time_nb_v3,gatv2_gru_nb_v3,0.182658,0.424782,4554.231771,60746.233333,0.0,0.867214,0,0,25641,167459,0.207385,0.235709,1794.92,637.26,83301
BPIC15_3,suffix_time_nb_v3,gatv2_gru_nb_v3,0.127491,0.400987,1196.856641,22973.60625,0.162331,0.721936,7990,54872,27589,206103,0.214586,0.212699,1249.47,1731.48,88075
BPIC15_1,suffix_time_nb_v3,gatv2_gru_nb_v3,0.160229,0.429218,3575.090104,42143.4375,0.027474,0.862104,546,3242,35412,241113,0.151758,0.149224,3382.13,4337.23,88723
BPIC15_5,suffix_time_nb_v3,gatv2_gru_nb_v3,0.18074,0.354933,2132.749479,49921.8,0.039049,0.878392,748,6623,30192,265171,0.276075,0.280684,1920.89,7108.17,85836
BPIC15_2,suffix_time_nb_v3,gatv2_gru_nb_v3,0.169021,0.373558,4823.477604,59236.5625,0.015598,0.855192,273,1842,32616,203226,0.149108,0.164242,3372.7,8398.52,87427
