log,model,method,dl_similarity,ges_approx,ttne_mae_minutes,rrt_mae_minutes,nb_f1,nb_accuracy,nb_tp,nb_fp,nb_fn,nb_tn,first_step_f1,first_step_accuracy,training_time_seconds,testing_time_seconds,num_trainable_params
Sepsis,suffix_time_nb_v3,gatv2_gru_nb_v3,0.475978,0.325498,3174.226823,24368.4375,0.0,0.463893,0,0,11930,10323,0.640515,0.648714,926.77,8.43,26012
BPI_Challenge_2012_A,suffix_time_nb_v3,gatv2_gru_nb_v3,0.66696,0.546095,1993.041667,6881.344271,0.0,0.457419,0,0,13819,11650,0.748428,0.770025,1140.1,11.62,24144
BPI_Challenge_2012_O,suffix_time_nb_v3,gatv2_gru_nb_v3,0.51525,0.359927,3365.242708,25505.5375,0.0,0.382886,0,0,11474,7119,0.749529,0.78859,1239.33,11.2,23219
BPIC15_4,suffix_time_nb_v3,gatv2_gru_nb_v3,0.181588,0.42575,4931.983333,67565.045833,0.0,0.867214,0,0,25641,167459,0.204458,0.230339,1493.77,700.81,83301
BPIC15_5,suffix_time_nb_v3,gatv2_gru_nb_v3,0.174741,0.358679,2168.739453,49667.279167,0.046204,0.87235,936,8640,30004,263154,0.272605,0.279578,1587.84,4254.22,85836
BPIC15_1,suffix_time_nb_v3,gatv2_gru_nb_v3,0.159829,0.41567,3653.266146,44661.041667,0.027912,0.861095,559,3538,35399,240817,0.157281,0.155099,1522.89,6268.23,88723
BPIC15_2,suffix_time_nb_v3,gatv2_gru_nb_v3,0.170562,0.368242,4759.669271,59717.525,0.023519,0.85204,424,2743,32465,202325,0.150052,0.165545,3172.27,9482.59,87427
BPIC15_3,suffix_time_nb_v3,gatv2_gru_nb_v3,0.129536,0.33294,1159.69375,23059.191667,0.132113,0.781271,4937,34223,30642,226752,0.228402,0.230316,1521.76,21248.97,88075
