epoch,composite training loss,activity training loss (cross entropy),TTNE training loss (MAE),composite validation loss,TTNE - MAE standardized,TTNE - MAE minutes,Cross Entropy validation set next activity,Next Activity Accuracy (validation)
0,0.39085828624665736,0.32039464965462683,0.04825078439898789,2.886613607406616,0.12254568189382553,3931.2713333034917,2.764068126678467,0.3490235209465027
1,0.2151325834542513,0.1853742402791977,0.01863681002520025,2.7614734172821045,0.1128649041056633,3620.711519081258,2.648608684539795,0.3547821640968323
2,0.18786025583744048,0.16155542243272067,0.01754073710879311,2.6149086952209473,0.11260408163070679,3612.3443216163473,2.502304792404175,0.4009764790534973
3,0.1735136740654707,0.14780914921313523,0.01693903579376638,2.561215877532959,0.11113335192203522,3565.163242255691,2.450082540512085,0.41962945461273193
4,0.1635855818912387,0.13874912228435277,0.016767182054463772,2.549633026123047,0.11718591302633286,3759.3296918169945,2.4324469566345215,0.4238858222961426
5,0.15615569517016412,0.13176408875733614,0.01638693018234335,2.588106393814087,0.11196068674325943,3591.704182870314,2.4761455059051514,0.43515273928642273
6,0.15091386955231428,0.12694810520857572,0.01631358687998727,2.5669138431549072,0.11452949047088623,3674.1115292511677,2.4523842334747314,0.4365297853946686
7,0.14601900786161423,0.12251869253814221,0.016114636800484732,2.4816370010375977,0.1118798553943634,3589.111109333683,2.3697569370269775,0.4581872820854187
8,0.14165372230112552,0.11873301707208156,0.01588100387947634,2.4992616176605225,0.11212161928415298,3596.8669064753662,2.3871400356292725,0.45380571484565735
9,0.13873353589326143,0.11596400905400514,0.015795883330283686,2.5313169956207275,0.10969125479459763,3518.900697469767,2.4216256141662598,0.4543064534664154
10,0.13560020416975022,0.1134509426727891,0.01569926484953612,2.520709276199341,0.11043703556060791,3542.8253800945326,2.4102723598480225,0.45280420780181885
11,0.13159875828772782,0.10960956782102585,0.01567401385633275,2.548571825027466,0.11266276240348816,3614.2268036123373,2.4359090328216553,0.4678267538547516
12,0.1292117763310671,0.10741895075887442,0.015446230673696847,2.4954237937927246,0.10985429584980011,3524.1310623146446,2.3855698108673096,0.47033050656318665
13,0.1275531827285886,0.10562288478016853,0.01557863583904691,2.5606563091278076,0.10949952900409698,3512.7501249452844,2.4511566162109375,0.4447921812534332
14,0.1260537228733301,0.10454950390383601,0.015439994430635125,2.562176465988159,0.10861668735742569,3484.428522716881,2.4535598754882812,0.4541812837123871
15,0.12331077050417662,0.10244352739304304,0.015303169481921942,2.6545372009277344,0.1106366440653801,3549.2288304696704,2.543900489807129,0.4633199870586395
16,0.12130072198808194,0.10013062998652458,0.01542155959061347,2.6392641067504883,0.10833093523979187,3475.261581123151,2.530933380126953,0.46069103479385376
17,0.12011690370738506,0.09916798261925579,0.015172534112352878,2.6247599124908447,0.10943253338336945,3510.6009022296994,2.5153274536132812,0.4589384198188782
18,0.11819765962660313,0.097212825268507,0.014953073158394545,2.5598883628845215,0.10898010432720184,3496.0869564800137,2.4509081840515137,0.46557337045669556
19,0.11230437088757754,0.09163531670346856,0.01483012686483562,2.5722239017486572,0.10806401073932648,3466.698630388215,2.4641597270965576,0.4690786302089691
20,0.1091672145947814,0.08924463832750916,0.014513476040447131,2.590541362762451,0.10945811867713928,3511.42167967691,2.481083393096924,0.4745868742465973
21,0.10840606117621064,0.08833201287314296,0.014642711557680741,2.6136116981506348,0.1085042953491211,3480.822981717705,2.5051071643829346,0.47295942902565
22,0.10811441730707884,0.08820741135627032,0.014658801378682257,2.65522837638855,0.10968396067619324,3518.666701802667,2.545544385910034,0.46557337045669556
23,0.10575729377567768,0.08610992176458239,0.014620743085397408,2.6388816833496094,0.11008359491825104,3531.486987391918,2.5287981033325195,0.4698297381401062
24,0.1064919851347804,0.08617415266111493,0.01475665831239894,2.6605277061462402,0.10653869807720184,3417.766527271511,2.5539889335632324,0.4795943796634674
25,0.10430187370628119,0.08439995184540748,0.0146353538276162,2.6437692642211914,0.1070801243185997,3435.1355069777874,2.536689281463623,0.4658237397670746
26,0.10376819180324674,0.08416106007993221,0.014403218454681337,2.681601047515869,0.11190908402204514,3590.048765106953,2.5696918964385986,0.45968952775001526
27,0.10238072615116835,0.08289990874007344,0.01448972299695015,2.7100226879119873,0.10624174773693085,3408.240346160262,2.6037814617156982,0.4631947875022888
28,0.1033216299675405,0.08389248257502914,0.014392972718924283,2.6443190574645996,0.10748279839754105,3448.0533106795783,2.5368363857269287,0.46632447838783264
