log,model,method,dl_similarity,ges_approx,ttne_mae_minutes,rrt_mae_minutes,nb_f1,nb_accuracy,nb_tp,nb_fp,nb_fn,nb_tn,first_step_f1,first_step_accuracy,training_time_seconds,testing_time_seconds,num_trainable_params
Sepsis,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.464395,0.416657,2985.64375,23176.814583,0.648078,0.670471,6752,2155,5178,8168,0.622216,0.636021,2995.79,9.69,26012
BPI_Challenge_2012_O,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.726793,0.70872,2593.182552,6727.907292,0.789726,0.785134,7502,23,3972,7096,0.804881,0.819462,5925.03,18.09,23219
BPI_Challenge_2012_A,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.738384,0.715332,2027.326562,6187.492708,0.790824,0.812046,9049,17,4770,11633,0.748079,0.769494,6593.78,28.25,24144
BPIC15_4,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.24231,0.379523,2880.426302,41911.691667,0.110514,0.779757,2642,19530,22999,147929,0.117883,0.130328,20142.7,230.86,83301
BPIC15_2,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.187699,0.379895,3134.266146,83013.875,0.159935,0.698122,6838,45783,26051,159285,0.130757,0.135258,20907.16,863.61,87427
BPIC15_1,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.189919,0.274734,2081.216667,50767.654167,0.202103,0.56525,15434,101342,20524,143013,0.109901,0.110785,22232.25,435.24,88723
BPIC15_3,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.216034,0.300747,1077.328385,25525.064583,0.182682,0.596131,13385,97575,22194,163400,0.210277,0.206418,23509.8,410.76,88075
BPIC15_5,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.179654,0.454137,2193.510677,47482.458333,0.127105,0.828229,3786,24847,27154,246947,0.189069,0.199456,23855.22,2429.29,85836
