log,model,method,dl_similarity,ges_approx,ttne_mae_minutes,rrt_mae_minutes,nb_f1,nb_accuracy,first_step_f1,first_step_accuracy,training_time_seconds,testing_time_seconds,num_trainable_params
Sepsis,suffix_time_stop_nb_v4,gatv2_gru_stop_nb_v4,0.503693,0.443745,2919.515885,22868.33125,0.619472,0.669797,0.617271,0.634648,6034.06,13.57,34463
BPI_Challenge_2012_A,suffix_time_stop_nb_v4,gatv2_gru_stop_nb_v4,0.724297,0.714109,1999.833984,6151.486979,0.792177,0.812674,0.741142,0.764938,7711.02,43.85,32595
BPI_Challenge_2012_O,suffix_time_stop_nb_v4,gatv2_gru_stop_nb_v4,0.722994,0.703031,2551.539062,6678.510417,0.782083,0.779164,0.797137,0.813914,10209.84,24.1,31670
BPIC15_4,suffix_time_stop_nb_v4,gatv2_gru_stop_nb_v4,0.22952,0.414044,3343.121875,42901.283333,0.130476,0.764904,0.146736,0.158854,45220.15,299.64,91752
BPIC15_2,suffix_time_stop_nb_v4,gatv2_gru_stop_nb_v4,0.194621,0.352012,3130.602344,83194.291667,0.156517,0.706354,0.144361,0.150782,46221.22,629.85,95878
BPIC15_1,suffix_time_stop_nb_v4,gatv2_gru_stop_nb_v4,0.188892,0.252435,2086.230339,50597.6625,0.192279,0.596997,0.081761,0.079564,48825.92,349.92,97174
BPIC15_3,suffix_time_stop_nb_v4,gatv2_gru_stop_nb_v4,0.214679,0.32819,1077.396224,25523.370833,0.177586,0.629676,0.160984,0.162837,53875.51,443.8,96526
BPIC15_5,suffix_time_stop_nb_v4,gatv2_gru_stop_nb_v4,0.193776,0.446281,2104.589974,49399.620833,0.106924,0.85151,0.215767,0.231096,52988.95,3419.57,94287
BPI_Challenge_2012_W,suffix_time_stop_nb_v4,gatv2_gru_stop_nb_v4,0.310612,0.368801,921.750716,9996.072917,0.826182,0.727165,0.817665,0.821231,57428.75,168.66,31670
