log,model,method,dl_similarity,ges_approx,ttne_mae_minutes,rrt_mae_minutes,nb_f1,nb_accuracy,nb_tp,nb_fp,nb_fn,nb_tn,first_step_f1,first_step_accuracy,training_time_seconds,testing_time_seconds,num_trainable_params
Sepsis,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.460849,0.424532,2922.161198,23551.683333,0.699029,0.699097,7776,2542,4154,7781,0.62436,0.638422,2607.47,9.77,26012
BPI_Challenge_2012_O,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.72635,0.707812,2599.588802,6759.236979,0.790282,0.785511,7514,28,3960,7091,0.802229,0.814341,4796.09,17.32,23219
BPI_Challenge_2012_A,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.736688,0.714955,1974.474609,6144.155729,0.791256,0.812164,9067,32,4752,11618,0.74068,0.764483,6617.58,26.75,24144
BPIC15_4,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.242525,0.377526,3088.291406,41992.541667,0.110236,0.776541,2673,20182,22968,147277,0.123103,0.133684,20717.49,226.64,83301
BPIC15_1,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.196943,0.269745,2087.852083,50533.0875,0.202772,0.550973,16007,105917,19951,138438,0.126615,0.130004,20612.74,397.99,88723
BPIC15_2,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.18844,0.376077,3142.138542,82793.191667,0.160895,0.717714,6440,40723,26449,164345,0.120507,0.12538,22050.28,1061.12,87427
BPIC15_3,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.220993,0.295904,1082.231055,25353.7875,0.18784,0.581709,14345,102812,21234,158163,0.215003,0.215533,24348.12,455.6,88075
BPIC15_5,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.17618,0.452011,2253.565625,46941.516667,0.128205,0.826683,3858,25387,27082,246407,0.175608,0.184146,24301.17,2443.63,85836
