log,model,method,dl_similarity,ges_approx,ttne_mae_minutes,rrt_mae_minutes,nb_f1,nb_accuracy,nb_tp,nb_fp,nb_fn,nb_tn,first_step_f1,first_step_accuracy,testing_time_seconds,num_trainable_params
Sepsis,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.450008,0.41252,2919.20625,23842.264583,0.698424,0.699007,7756,2524,4174,7799,0.592245,0.608233,4.05,26012
BPI_Challenge_2012_O,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.725942,0.707732,2607.286458,6805.172917,0.791091,0.786102,7530,33,3944,7086,0.805265,0.816475,4.18,23219
BPI_Challenge_2012_A,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.737232,0.715304,1974.922135,6144.225,0.791567,0.812517,9067,23,4752,11627,0.743098,0.765849,14.87,24144
BPIC15_4,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.164217,0.331984,3192.46901,43439.383333,0.129414,0.74492,3661,27276,21980,140183,0.02303,0.02875,619.34,83301
BPIC15_1,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.139534,0.217191,2086.5625,50560.670833,0.197318,0.548526,15555,106151,20403,138204,0.025307,0.031893,1338.62,88723
BPIC15_3,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.133365,0.240971,1081.222526,25384.325,0.181564,0.587192,13579,100420,22000,160555,0.027011,0.02742,1750.46,88075
BPIC15_5,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.118205,0.401713,2247.623437,47049.908333,0.128401,0.793981,4594,36023,26346,235771,0.020224,0.024581,3508.83,85836
BPIC15_2,suffix_time_nb_v1,gatv2_seq_gru_nb_v1,0.141809,0.30184,3142.913542,82790.3,0.149496,0.678051,6733,50454,26156,154614,0.037272,0.044507,5320.73,87427
