log,model,method,dl_similarity,ges_approx,ttne_mae_minutes,rrt_mae_minutes,nb_f1,nb_accuracy,nb_tp,nb_fp,nb_fn,nb_tn,first_step_f1,first_step_accuracy,training_time_seconds,testing_time_seconds,num_trainable_params
Sepsis,suffix_time_nb_v2,gatv2_gru_nb_v2,0.453303,0.400825,3180.83151,27922.129167,0.531276,0.594572,5113,2205,6817,8118,0.595004,0.62024,216.78,6.57,26012
BPI_Challenge_2012_O,suffix_time_nb_v2,gatv2_gru_nb_v2,0.685175,0.630592,3422.208594,7375.563542,0.76632,0.762222,7249,196,4225,6923,0.785974,0.804951,605.96,7.79,23219
BPI_Challenge_2012_A,suffix_time_nb_v2,gatv2_gru_nb_v2,0.713126,0.666377,2444.214323,5812.283333,0.748778,0.782088,8271,2,5548,11648,0.747626,0.769114,1206.37,11.03,24144
BPIC15_5,suffix_time_nb_v2,gatv2_gru_nb_v2,0.172226,0.393747,2577.547656,46223.4375,0.122774,0.799243,4253,34089,26687,237705,0.141191,0.156588,1282.27,751.23,85836
BPIC15_4,suffix_time_nb_v2,gatv2_gru_nb_v2,0.232132,0.386515,3032.135938,43010.858333,0.13086,0.774573,3277,21166,22364,146293,0.131187,0.150241,2076.56,246.34,83301
BPIC15_1,suffix_time_nb_v2,gatv2_gru_nb_v2,0.188528,0.2732,2634.571615,41784.179167,0.174716,0.665103,9937,67855,26021,176500,0.054042,0.064792,2977.91,321.93,88723
BPIC15_3,suffix_time_nb_v2,gatv2_gru_nb_v2,0.183518,0.262466,1192.405208,23756.072917,0.174231,0.677772,10081,70060,25498,190915,0.155468,0.145987,2762.58,573.84,88075
BPIC15_2,suffix_time_nb_v2,gatv2_gru_nb_v2,0.179359,0.356578,3701.654167,71555.366667,0.14457,0.725379,5522,37981,27367,167087,0.102444,0.113005,3035.5,5162.55,87427
