log,model,method,dl_similarity,ges_approx,ttne_mae_minutes,rrt_mae_minutes,nb_f1,nb_accuracy,nb_tp,nb_fp,nb_fn,nb_tn,first_step_f1,first_step_accuracy,training_time_seconds,testing_time_seconds,num_trainable_params
Sepsis,suffix_time_nb_v3,gatv2_gru_nb_v3,0.443851,0.283392,3069.617708,24350.066667,0.0,0.463893,0,0,11930,10323,0.636006,0.644254,634.94,13.67,26012
BPI_Challenge_2012_O,suffix_time_nb_v3,gatv2_gru_nb_v3,0.515127,0.359348,3191.36901,24153.622917,0.0,0.382886,0,0,11474,7119,0.748772,0.78859,1519.95,10.25,23219
BPI_Challenge_2012_A,suffix_time_nb_v3,gatv2_gru_nb_v3,0.664003,0.583379,2047.505729,6005.198958,0.0,0.457419,0,0,13819,11650,0.748648,0.770025,1636.27,8.91,24144
BPIC15_4,suffix_time_nb_v3,gatv2_gru_nb_v3,0.181313,0.41898,4839.3875,66319.795833,0.0,0.867214,0,0,25641,167459,0.204825,0.230227,1301.38,573.85,83301
BPIC15_1,suffix_time_nb_v3,gatv2_gru_nb_v3,0.157843,0.431142,3424.571615,40864.895833,0.011326,0.867965,212,1265,35746,243090,0.119198,0.121024,3458.15,7389.45,88723
BPIC15_5,suffix_time_nb_v3,gatv2_gru_nb_v3,0.184773,0.354105,2134.236458,51416.6375,0.03001,0.888321,523,3392,30417,268402,0.262397,0.272774,2254.18,9054.64,85836
BPIC15_2,suffix_time_nb_v3,gatv2_gru_nb_v3,0.16836,0.371219,4844.955729,59596.7875,0.024405,0.854184,434,2243,32455,202825,0.150653,0.165545,3117.18,12478.03,87427
BPIC15_3,suffix_time_nb_v3,gatv2_gru_nb_v3,0.133743,0.324462,1132.339583,24100.704167,0.101688,0.805776,3260,25279,32319,235696,0.244494,0.256893,1825.24,21137.32,88075
