log,model,method,dl_similarity,ttne_mae_minutes,rrt_mae_minutes,training_time_seconds,testing_time_seconds
RequestForPayment,suffix_time,gatv2_gru,0.794233,2821.957552,7411.704687,504.7,5.54
Sepsis,suffix_time,gatv2_gru,0.469396,2980.301302,22951.89375,700.43,2.69
BPI_Challenge_2012_O,suffix_time,gatv2_gru,0.696991,2979.538542,7314.451042,720.46,4.23
BPIC15_1,suffix_time,gatv2_gru,0.179257,2509.379948,43647.8,771.28,13.03
BPIC15_5,suffix_time,gatv2_gru,0.184335,2931.24401,46048.016667,793.83,14.09
PrepaidTravelCost,suffix_time,gatv2_gru,0.663691,3368.6875,12024.85625,997.36,1.1
BPI_Challenge_2012_A,suffix_time,gatv2_gru,0.727027,2105.984766,5724.034375,1020.16,4.86
DomesticDeclarations,suffix_time,gatv2_gru,0.808963,2519.813802,6633.040104,1280.84,3.25
BPIC15_4,suffix_time,gatv2_gru,0.204879,4679.795833,65594.3375,1377.49,7.63
InternationalDeclarations,suffix_time,gatv2_gru,0.694249,5079.511979,18520.520833,1515.98,7.76
BPIC15_2,suffix_time,gatv2_gru,0.184411,4713.859375,65329.8,2819.09,13.1
BPIC15_3,suffix_time,gatv2_gru,0.183915,1076.973177,25537.652083,3731.94,11.13
BPI_Challenge_2012_W,suffix_time,gatv2_gru,0.274149,920.399414,10783.003125,4096.95,21.62
